speaker,start_time_row,date,,,,,start_time,text
President Donal...:,22:07,9/29/20,22,7,0:22:07,0:20:47,0:20:47,"You didn't think we should have closed our country because you thought it was terrible. You wouldn't have closed it for another two months. By my doing it early, in fact, Dr. Fauci said, ""President Trump saved thousands of lives."" Many of your Democrat Governors said, ""President Trump did a phenomenal job."" We worked with the Governor. Oh really, go take a look. The Governors said I did a phenomenal job. Most of them said that. In fact, people that would not be necessarily on my side said that, ""President Trump did a phenomenal job."" We did. We got the gowns. We got the masks. We made the ventilators. You wouldn't have made ventilators. And now we're weeks away from a vaccine. We're doing therapeutics already. Fewer people are dying when they get sick. Far fewer people are dying. We've done a great job."
President Donal...:,22:54,9/29/20,22,54,0:22:54,0:21:34,0:21:34,"The only thing I haven't done a good job, and that's because of the fake news, no matter what you say to them, they give you a bad press on it. It's just fake news. They give you good press, they give me bad press because that's the way it is, unfortunately. But let me just say something. I don't care. I've gotten used to it. But I'll tell you, Joe, you could never have done the job that we did. You don't have it in your blood. You could've never done that, Joe."
Vice President ...:,23:15,9/29/20,23,15,0:23:15,0:21:55,0:21:55,I know how to do the job. I know how to get the job done.
President Donal...:,23:18,9/29/20,23,18,0:23:18,0:21:58,0:21:58,"Well, you didn't do very well in Swine Flu. H1-N1, you were a disaster. Your own Chief of Staff said you were a disaster."
Vice President ...:,23:25,9/29/20,23,25,0:23:25,0:22:05,0:22:05,"14,000 people died, not 200,000."
President Donal...:,23:27,9/29/20,23,27,0:23:27,0:22:07,0:22:07,"A far less lethal disease, by the way."
Chris Wallace:,23:32,9/29/20,23,32,0:23:32,0:22:12,0:22:12,"Sir, you made a point. Let him answer it."
Vice President ...:,23:33,9/29/20,23,33,0:23:33,0:22:13,0:22:13,"And there was no one ... We didn't shut down the economy. This is his economy he shut down. The reason it's shut down is because, look, you folks at home. How many of you got up this morning and had an empty chair at the kitchen table because someone died of COVID? How many of you are in a situation where you lost your mom or dad and you couldn't even speak to them, you had a nurse holding a phone up so you could in fact say goodbye?"
President Donal...:,23:57,9/29/20,23,57,0:23:57,0:22:37,0:22:37,"We would have lost far more people, far more people. You would have been months late. You're months behind me, Joe."
Vice President ...:,0:24:03,9/29/20,,,0:24:03,0:22:43,0:22:43,"His own CDC Director says we could lose as many as another 200,000 people between now and the end of the year. And he said, if we just wear a mask, we can save half those numbers. Just a mask. And by the way, in terms of the whole notion of a vaccine, we're for a vaccine, but I don't trust him at all. Nor do you. I know you don't. What we trust is a scientist."
President Donal...:,0:24:25,9/29/20,,,0:24:25,0:23:05,0:23:05,"You don't trust Johnson & Johnson, Pfizer?"
Chris Wallace:,0:24:30,9/29/20,,,0:24:30,0:23:10,0:23:10,"Okay, gentlemen, gentlemen. Let me move on to questions about the future because you both have touched on two of the questions I'm going to ask. Focusing on the future first, President Trump, you have repeatedly either contradicted or been at odds with some of your governments own top scientists. The week before last, the Head of the Centers for Disease Control, Dr. Redfield said it would be summer before the vaccine would become generally available to the public. You said that he was confused and mistaken. Those were your two words. But Dr. Slaoui, the head of your Operation Warp Speed, has said exactly the same thing. Are they both wrong?"
President Donal...:,0:00:15,9/29/20,,,0:25:15,0:23:55,0:23:55,"Well, I've spoken to the companies and we can have it a lot sooner. It's a very political thing because people like this would rather make it political than save lives."
Vice President ...:,0:00:22,9/29/20,,,0:25:22,0:24:02,0:24:02,God.
President Donal...:,0:00:23,9/29/20,,,0:25:23,0:24:03,0:24:03,"It is a very political thing. I've spoken to Pfizer, I've spoken to all of the people that you have to speak to, Moderna, Johnson & Johnson, and others. They can go faster than that by a lot. It's become very political because the left... Or I don't know if I call them left, I don't know what I call them."
Chris Wallace:,0:00:38,9/29/20,,,0:25:38,0:24:18,0:24:18,"So you're suggesting that the head of your Operation Warp Speed, Dr. Slaoui-"
President Donal...:,0:00:42,9/29/20,,,0:25:42,0:24:22,0:24:22,"I disagree with him. No, I disagree with both of them. And he didn't say that. He said it could be there, but it could also be much sooner. I had him in my office two days ago."
Chris Wallace:,0:00:49,9/29/20,,,0:25:49,0:24:29,0:24:29,"He talked about the summer, sir, before it's generally available, just like Dr. Redfield."
President Donal...:,0:00:53,9/29/20,,,0:25:53,0:24:33,0:24:33,Because he said it's a possibility that we'll have the answer before November 1st. It could also be after that.
Chris Wallace:,0:00:59,9/29/20,,,0:25:59,0:24:39,0:24:39,"I'm talking about when it's generally available, not-"
President Donal...:,0:01:00,9/29/20,,,0:26:00,0:24:40,0:24:40,"Well, we're going to deliver it right away. We have the military all set up. Logistically, they're all set up. We have our military that delivers soldiers and they can do 200,000 a day. They're going to be delivering-"
Vice President ...:,0:01:11,9/29/20,,,0:26:11,0:24:51,0:24:51,This is the same man who told you-
President Donal...:,0:01:13,9/29/20,,,0:26:13,0:24:53,0:24:53,It's all set up.
Vice President ...:,0:01:14,9/29/20,,,0:26:14,0:24:54,0:24:54,"... by Easter, this would be gone away. By the warm weather, it'd be gone. Miraculous, like a miracle. And by the way, maybe you could inject some bleach in your arm, and that would take care of it. This is the same man."
President Donal...:,0:01:24,9/29/20,,,0:26:24,0:25:04,0:25:04,"That was said sarcastically, and you know that. That was said sarcastically."
Vice President ...:,0:01:28,9/29/20,,,0:26:28,0:25:08,0:25:08,"So here's the deal. This man is talking about a vaccine. Every serious company is talking about maybe having a vaccine done by the end of the year, but the distribution of that vaccine will not occur until sometime beginning of the middle of next year to get it out, if we get the vaccine. And pray God we will. Pray God we will."
Chris Wallace:,0:01:49,9/29/20,,,0:26:49,0:25:29,0:25:29,"Mr. Vice President, I want to pick up-"
President Donal...:,0:01:50,9/29/20,,,0:26:50,0:25:30,0:25:30,You'll have the vaccine sooner than that.
Chris Wallace:,0:01:51,9/29/20,,,0:26:51,0:25:31,0:25:31,"I want to pick up on this question though. You say the public can trust the scientists, but they can't trust President Trump. In fact, you said that again tonight. Your running mate, Senator Harris, goes further, saying that public health experts quote, ""Will be muzzled, will be suppressed."" Given the fact that polls already show that people are concerned about the vaccine and are reluctant to take it, are you and your running mate, Senator Harris, contributing to that fear?"
Vice President ...:,0:02:18,9/29/20,,,0:27:18,0:25:58,0:25:58,No more than the question you just asked him. You pointed out he puts pressure and disagrees with his own scientists.
Chris Wallace:,0:02:25,9/29/20,,,0:27:25,0:26:05,0:26:05,But you're saying you can't-
Vice President ...:,0:02:26,9/29/20,,,0:27:26,0:26:06,0:26:06,Everybody knows-
Chris Wallace:,0:02:26,9/29/20,,,0:27:26,0:26:06,0:26:06,Or Senator Harris is saying you can't trust the scientist.
Vice President ...:,0:02:28,9/29/20,,,0:27:28,0:26:08,0:26:08,"Well, no, no. You can trust the scientist. She didn't say that. You can trust the-"
Chris Wallace:,0:02:32,9/29/20,,,0:27:32,0:26:12,0:26:12,"She said that public health experts quote, ""Will be muzzled, will be suppressed."""
Vice President ...:,0:02:36,9/29/20,,,0:27:36,0:26:16,0:26:16,"Yes. Well, that's what he's going to try to do, but there's thousands of scientists out there, like here at this great hospital that don't work for him. Their job doesn't depend on him. They're the people... And by the way-"
President Donal...:,0:02:51,9/29/20,,,0:27:51,0:26:31,0:26:31,We spoke to the scientists that are in charge-
Vice President ...:,0:02:53,9/29/20,,,0:27:53,0:26:33,0:26:33,By the way-
President Donal...:,0:02:53,9/29/20,,,0:27:53,0:26:33,0:26:33,... they will have the vaccine very soon.
Chris Wallace:,0:02:55,9/29/20,,,0:27:55,0:26:35,0:26:35,Let him finish.
Vice President ...:,0:02:55,9/29/20,,,0:27:55,0:26:35,0:26:35,"Do you believe for a moment what he's telling you in light of all the lies he's told you about the whole issue relating to COVID? He still hasn't even acknowledged that he knew this was happening, knew how dangerous it was going to be back in February, and he didn't even tell you. He's on record as saying it. He panicked or he just looked at the stock market. One of the two. Because guess what? A lot of people died and a lot more are going to die unless he gets a lot smarter, a lot quicker-"
Chris Wallace:,0:03:27,9/29/20,,,0:28:27,0:27:07,0:27:07,Mr. President?
President Donal...:,0:03:28,9/29/20,,,0:28:28,0:27:08,0:27:08,"Did you use the word smart? So you said you went to Delaware State, but you forgot the name of your college. You didn't go to Delaware State. You graduated either the lowest or almost the lowest in your class. Don't ever use the word smart with me. Don't ever use that word."
Vice President ...:,0:03:44,9/29/20,,,0:28:44,0:27:24,0:27:24,"Oh, give me a break."
President Donal...:,0:03:44,9/29/20,,,0:28:44,0:27:24,0:27:24,"Because you know what? There's nothing smart about you, Joe. 47 years you've done nothing."
Vice President ...:,0:03:49,9/29/20,,,0:28:49,0:27:29,0:27:29,"Well, let's have this debate-"
President Donal...:,0:03:51,9/29/20,,,0:28:51,0:27:31,0:27:31,"Let me just tell you something, Joe. If you would have had the charge of what I was put through, I had to close the greatest economy of the history of our country. And by the way, now it's being built again and it's going up fast."
Chris Wallace:,0:04:02,9/29/20,,,0:29:02,0:27:42,0:27:42,"We'll get to the economy in the next segment, sir."
President Donal...:,0:04:04,9/29/20,,,0:29:04,0:27:44,0:27:44,Okay. It's going up fast. I look forward to talking about it.
Chris Wallace:,0:04:06,9/29/20,,,0:29:06,0:27:46,0:27:46,"Okay. When it comes to how the virus has been handled so far, the two of you have taken very different approaches, and this is going to affect how the virus is handled going forward by whichever of you ends up becoming the next president. I want to quickly go through several of those. Reopenings. Vice President Biden, you have been much more reluctant than President Trump about reopening the economy and schools. Why, sir?"
Vice President ...:,0:04:31,9/29/20,,,0:29:31,0:28:11,0:28:11,"Because he doesn't have a plan. If I were running it, I'd know what the plan is. You've got to provide these businesses the ability to have the money to be able to reopen with the PPE, as well as with the sanitation they need. You have to provide them classic-"
President Donal...:,0:04:45,9/29/20,,,0:29:45,0:28:25,0:28:25,Tell that to Nancy Pelosi.
Vice President ...:,0:04:47,9/29/20,,,0:29:47,0:28:27,0:28:27,Will he just shush for a minute?
President Donal...:,0:04:49,9/29/20,,,0:29:49,0:28:29,0:28:29,"Tell that to Nancy Pelosi, and Schumer [crosstalk 00:04:52] Chuck."
Vice President ...:,0:04:52,9/29/20,,,0:29:52,0:28:32,0:28:32,"Nancy Pelosi and Schumer, they have a plan. He won't even meet with them. The Republicans won't meet in the Senate. He sits in his golf course. Well, I mean, literally, think about it. Think about it."
President Donal...:,0:05:04,9/29/20,,,0:30:04,0:28:44,0:28:44,"You probably play more than I do, Joe."
Chris Wallace:,0:05:06,9/29/20,,,0:30:06,0:28:46,0:28:46,What about this question of reopenings and the fact-
President Donal...:,0:05:08,9/29/20,,,0:30:08,0:28:48,0:28:48,"Well, he wants to shut down this country and I want to keep it open, and we did a great thing by shutting it down-"
Vice President ...:,0:05:15,9/29/20,,,0:30:15,0:28:55,0:28:55,You just admitted you'd shut it down.
President Donal...:,0:05:15,9/29/20,,,0:30:15,0:28:55,0:28:55,"Wait a minute, Joe. Let me shut you down for a second, Joe, just for one second. He wants to shut down the country. We just went through it. We had to, because we didn't know anything about the disease. Now we've found that elderly people with heart problems and diabetes and different problems are very, very vulnerable. We learned a lot. Young children aren't, even younger people aren't. We've learned a lot, but he wants to shut it down. More people will be hurt by continuing. If you look at Pennsylvania, if you look at certain states that have been shut down, they have Democrat governors, all, one of the reasons they shut down is because they want to keep it shut down until after the election on November 3rd."
Chris Wallace:,0:05:54,9/29/20,,,0:30:54,0:29:34,0:29:34,All right. I want to move onto another-
President Donal...:,0:05:55,9/29/20,,,0:30:55,0:29:35,0:29:35,Because it's a political thing.
Chris Wallace:,0:05:55,9/29/20,,,0:30:55,0:29:35,0:29:35,I want to move onto another subject.
Vice President ...:,0:05:55,9/29/20,,,0:30:55,0:29:35,0:29:35,I got to respond to that.
Chris Wallace:,0:05:55,9/29/20,,,0:30:55,0:29:35,0:29:35,I want to move-
President Donal...:,0:05:57,9/29/20,,,0:30:57,0:29:37,0:29:37,But those states-
Chris Wallace:,0:05:58,9/29/20,,,0:30:58,0:29:38,0:29:38,"Gentlemen, I want to move onto another subject."
President Donal...:,0:06:00,9/29/20,,,0:31:00,0:29:40,0:29:40,Those states are not doing well that are shut down right now.
Vice President ...:,0:06:02,9/29/20,,,0:31:02,0:29:42,0:29:42,I got to respond to that.
President Donal...:,0:06:04,9/29/20,,,0:31:04,0:29:44,0:29:44,He wants to shut down the whole country.
Chris Wallace:,0:06:04,9/29/20,,,0:31:04,0:29:44,0:29:44,"President Trump, you have begun to increasingly question the effectiveness of masks as a disease preventer. And in fact, recently you have cited the issue of waiters touching their masks and touching plates. Are you questioning the efficacy of masks?"
President Donal...:,0:06:20,9/29/20,,,0:31:20,0:30:00,0:30:00,"No, I think masks are okay. You have to understand, if you look... I mean, I have a mask right here. I put a mask on when I think I need it. Tonight, as an example, everybody's had a test and you've had social distancing and all of the things that you have to, but I wear masks-"
Vice President ...:,0:06:33,9/29/20,,,0:31:33,0:30:13,0:30:13,Just like your rally.
President Donal...:,0:06:33,9/29/20,,,0:31:33,0:30:13,0:30:13,"... when needed. When needed, I wear masks."
Chris Wallace:,0:06:35,9/29/20,,,0:31:35,0:30:15,0:30:15,Okay. Let me ask-
President Donal...:,0:06:36,9/29/20,,,0:31:36,0:30:16,0:30:16,"I don't wear a mask like him. Every time you see him, he's got a mask. He could be speaking 200 feet away from him and he shows up with the biggest mask I've ever seen. I will say this-"
Chris Wallace:,0:06:45,9/29/20,,,0:31:45,0:30:25,0:30:25,"Vice President Biden, go ahead, sir."
Vice President ...:,0:06:48,9/29/20,,,0:31:48,0:30:28,0:30:28,"Look, the way to open businesses is give them the wherewithal to be able open. We provided money, the-"
Chris Wallace:,0:06:55,9/29/20,,,0:31:55,0:30:35,0:30:35,"But I was asking you, sir, about masks."
Vice President ...:,0:06:56,9/29/20,,,0:31:56,0:30:36,0:30:36,"Well, masks make a big difference. His own head of the CDC said if we just wore masks between now, if everybody wore a mask and social distanced between now and January, we'd probably save up to 100,000 lives. It matters. It matters."
President Donal...:,0:07:10,9/29/20,,,0:32:10,0:30:50,0:30:50,And they've also said the opposite. They've also said-
Vice President ...:,0:07:12,9/29/20,,,0:32:12,0:30:52,0:30:52,No serious person has said the opposite. No serious person.
Chris Wallace:,0:07:14,9/29/20,,,0:32:14,0:30:54,0:30:54,Okay. I want to ask you-
President Donal...:,0:07:17,9/29/20,,,0:32:17,0:30:57,0:30:57,Dr. Fauci. Dr. Fauci said the opposite.
Vice President ...:,0:07:18,9/29/20,,,0:32:18,0:30:58,0:30:58,He did not say the opposite.
Chris Wallace:,0:07:19,9/29/20,,,0:32:19,0:30:59,0:30:59,"I want to ask you, we've got a little than a minute left in this segment."
President Donal...:,0:07:22,9/29/20,,,0:32:22,0:31:02,0:31:02,"He said very strongly, ""Masks are not good."" Then he changed his mind. He said, ""Masks are good."""
Chris Wallace:,0:07:25,9/29/20,,,0:32:25,0:31:05,0:31:05,I want to ask-
President Donal...:,0:07:25,9/29/20,,,0:32:25,0:31:05,0:31:05,I'm okay with masks. I'm not fighting masks.
Chris Wallace:,0:07:27,9/29/20,,,0:32:27,0:31:07,0:31:07,"I want to ask you both about one last subject because your different approaches has even affected the way that you have campaigned. President Trump, you're holding large rallies with crowds packed together, thousands of people."
President Donal...:,0:07:38,9/29/20,,,0:32:38,0:31:18,0:31:18,Outside.
Chris Wallace:,0:07:39,9/29/20,,,0:32:39,0:31:19,0:31:19,"Outside. Yes, sir. Agreed. Vice President Biden, you are holding much smaller events with-"
President Donal...:,0:07:46,9/29/20,,,0:32:46,0:31:26,0:31:26,Because nobody will show up.
Chris Wallace:,0:07:47,9/29/20,,,0:32:47,0:31:27,0:31:27,... people with masks.
President Donal...:,0:07:47,9/29/20,,,0:32:47,0:31:27,0:31:27,"Well, it's true. Nobody shows up to his rallies."
Chris Wallace:,0:07:50,9/29/20,,,0:32:50,0:31:30,0:31:30,"All right. In any case, why you holding the big rallies? Why you not? You go first, sir."
President Donal...:,0:07:56,9/29/20,,,0:32:56,0:31:36,0:31:36,Because people want to hear what I have to say. I mean-
Chris Wallace:,0:07:59,9/29/20,,,0:32:59,0:31:39,0:31:39,But are not worried about us spreading disease?
President Donal...:,0:08:01,9/29/20,,,0:33:01,0:31:41,0:31:41,"... I'm doing my job as a president, and I'll have 25, 35,000 people show up at airports. We use airports and hangers and we have a lot of people-"
Chris Wallace:,0:08:06,9/29/20,,,0:33:06,0:31:46,0:31:46,"Are you not worried about the disease issues, sir?"
President Donal...:,0:08:08,9/29/20,,,0:33:08,0:31:48,0:31:48,"Well, so far we have had no problem whatsoever. It's outside. That's a big difference according to the experts. We do them outside, we have tremendous crowds, as you see, and literally on 24 hours notice. And Joe does the circles and has three people someplace."
Vice President ...:,0:08:26,9/29/20,,,0:33:26,0:32:06,0:32:06,"By the way, did you see one of the last big rallies he had? A reporter came up to him to ask him a question, he said, ""No, no, no. Stand back, put on your mask, put on a mask. Have you been tested? I'm way far away from those other people."" That's what he said, ""I'm going to be okay."" He's not worried about you. He's not worried about the people out there [crosstalk 00:08:48]."
President Donal...:,0:08:48,9/29/20,,,0:33:48,0:32:28,0:32:28,We've had no negative effect.
Vice President ...:,0:08:49,9/29/20,,,0:33:49,0:32:29,0:32:29,No negative effect. Come on.
President Donal...:,0:08:51,9/29/20,,,0:33:51,0:32:31,0:32:31,"We've had no negative effect, and we've had 35, 40,000 people at these rallies."
Chris Wallace:,0:08:55,9/29/20,,,0:33:55,0:32:35,0:32:35,All right. Do you want to just quickly finish up? Because I want to move on to our next-
Vice President ...:,0:08:57,9/29/20,,,0:33:57,0:32:37,0:32:37,"Yes, I would. He's been totally irresponsible the way in which he has handled the social distancing and people wearing masks, basically encouraged them not to. He's a fool on this."
President Donal...:,0:09:08,9/29/20,,,0:34:08,0:32:48,0:32:48,"If you could get the crowds, you would have done the same thing. But you can't. Nobody cares."
Chris Wallace:,0:09:12,9/29/20,,,0:34:12,0:32:52,0:32:52,"Gentlemen, can we move on to the-"
President Donal...:,0:09:13,9/29/20,,,0:34:13,0:32:53,0:32:53,No cares.
Chris Wallace:,0:09:13,9/29/20,,,0:34:13,0:32:53,0:32:53,"Gentlemen, can we move on to the economy?"
President Donal...:,0:09:15,9/29/20,,,0:34:15,0:32:55,0:32:55,Yes.
Chris Wallace:,0:09:15,9/29/20,,,0:34:15,0:32:55,0:32:55,"The economy is, I think it's fair to say, recovering faster than expected from the shutdown-"
President Donal...:,0:09:22,9/29/20,,,0:34:22,0:33:02,0:33:02,Much faster.
Chris Wallace:,0:09:22,9/29/20,,,0:34:22,0:33:02,0:33:02,"... in the second quarter. The unemployment rate fell to 8.4% last month. The Federal Reserve says the hit to growth, which is going to be there, is not going to be nearly as big as they had expected. President Trump, you say we are in a V-shaped recovery. Vice President Biden, you say it's more of a K-shape. What difference does that mean to the American people in terms of the economy? President Trump, in this segment you go first."
President Donal...:,0:09:52,9/29/20,,,0:34:52,0:33:32,0:33:32,"So we built the greatest economy in history. We closed it down because of the China plague. When the plague came in, we closed it down, which was very hard psychologically to do. He didn't think we should close it down and he was wrong. Again, two million people would be dead now instead of... Still, 204,000 people is too much. One person is too much. Should have never happened from China. But what happened is we closed it down and now we're reopening and we're doing record business. We had 10.4 million people in a four month period that we've put back into the workforce. That's a record the likes of which nobody's ever seen before. And he wants to close down the... He will shut it down again. He will destroy this country."
President Donal...:,0:10:31,9/29/20,,,0:35:31,0:34:11,0:34:11,"A lot of people, between drugs and alcohol and depression, when you start shutting it down, you take a look at what's happening at some of your Democrat-run states where they have these tough shutdowns. And I'm telling you it's because they don't want to open it. One of them came out last week, you saw that, ""Oh, we're going to open up on November 9th."" Why November 9th? Because it's after the election. They think they're hurting us by keeping them closed. They're hurting people. People know what to do. They can social distance. They can wash their hands, they can wear masks. They can do whatever they want, but they got to open these states up."
President Donal...:,0:11:04,9/29/20,,,0:36:04,0:34:44,0:34:44,"When you look at North Carolina, when you look, and these governors are under siege, Pennsylvania, Michigan, and a couple of others, you got to open these states up. It's not fair. You're talking about almost it's like being in prison. And you look at what's going on with divorce, look at what's going on with alcoholism and drugs. It's a very, very sad thing. And he'll close down the whole country. This guy will close down the whole country and destroy our country. Our country is coming back incredibly well, setting records as it does it. We don't need somebody to come in and say, ""Let's shut it down."""
Chris Wallace:,0:11:36,9/29/20,,,0:36:36,0:35:16,0:35:16,"All right. Your two minutes, sir. We're now moved to you. As I said, posing the question, the president says it's a V-shape recovery, you say it's a K-shaped recovery. What's the difference?"
Vice President ...:,0:11:48,9/29/20,,,0:36:48,0:35:28,0:35:28,"The difference is millionaires and billionaires like him in the middle of the COVID crisis have done very well. Billionaires have made another $300 billion because of his profligate tax proposal, and he only focused on the market. But you folks at home, you folks living in Scranton and Claymont and all the small towns and working class towns in America, how well are you doing? This guy paid a total of $750 in taxes."
President Donal...:,0:12:17,9/29/20,,,0:37:17,0:35:57,0:35:57,That's wrong.
Chris Wallace:,0:12:18,9/29/20,,,0:37:18,0:35:58,0:35:58,"Sir, wait. No. Sir-"
President Donal...:,0:12:18,9/29/20,,,0:37:18,0:35:58,0:35:58,[crosstalk 00:12:19].
Chris Wallace:,0:12:20,9/29/20,,,0:37:20,0:36:00,0:36:00,"Yeah, I understand. You've agreed to the two minutes, so please let him have it."
Vice President ...:,0:12:23,9/29/20,,,0:37:23,0:36:03,0:36:03,"Do I get my time back? The fact is that he has in fact, worked on this in a way that he's going to be the first president of the United States to leave office, having fewer jobs in his administration than when he became president. Fewer jobs than when he became president. First one in American history."
Vice President ...:,0:12:40,9/29/20,,,0:37:40,0:36:20,0:36:20,"Secondly, the people who have lost their jobs are those people who have been on the front lines. Those people who have been saving our lives, those people who have been out there dying. People who've been putting themselves in the way to make sure that we could all try to make it. And the idea that he is insisting that we go forward and open when you have almost half the states in America with a significant increase in COVID deaths and COVID cases in the United States of America, and he wants to open it up more. Why is he want to open it up? Why does he take care of the... You can't fix the economy until you fix the COVID crisis. And he has no intention of doing anything about making it better for you all at home in terms of your health and your safety."
Vice President ...:,0:13:25,9/29/20,,,0:38:25,0:37:05,0:37:05,"Schools. Why aren't schools open? Because it costs a lot of money to open them safely. They were going to give, his administration going to give the teachers and school students masks, and then they decided no, couldn't do that because it's not a national emergency. Not a national emergency. They've done nothing to help small businesses. Nothing. They're closing. One in six is now gone. He ought to get on the job and take care of the needs of the American people so we can open safely."
Chris Wallace:,0:13:54,9/29/20,,,0:38:54,0:37:34,0:37:34,"All right. Your time is up, sir. We are going to get to-"
President Donal...:,0:13:56,9/29/20,,,0:38:56,0:37:36,0:37:36,I have to respond to that.
Chris Wallace:,0:13:57,9/29/20,,,0:38:57,0:37:37,0:37:37,"Well, you both had two minutes, sir."
President Donal...:,0:13:59,9/29/20,,,0:38:59,0:37:39,0:37:39,"Excuse me, he made a statement."
Chris Wallace:,0:14:01,9/29/20,,,0:39:01,0:37:41,0:37:41,And so did you.
President Donal...:,0:14:03,9/29/20,,,0:39:03,0:37:43,0:37:43,"No, people want their schools open. They don't want to be shut down. They don't want their state shut down. They want their restaurants. I look at New York. It's so sad what's happening in New York. It's almost like a ghost town, and I'm not sure it can ever recover what they've done to New York. People want their places open. They want to get back to their lives."
Vice President ...:,0:14:19,9/29/20,,,0:39:19,0:37:59,0:37:59,People want to be safe.
President Donal...:,0:14:20,9/29/20,,,0:39:20,0:38:00,0:38:00,"They'll be careful, but they want their schools open."
Vice President ...:,0:14:22,9/29/20,,,0:39:22,0:38:02,0:38:02,People want to be safe.
President Donal...:,0:14:23,9/29/20,,,0:39:23,0:38:03,0:38:03,"I'm the one that brought back football. By the way, I brought back Big Ten football. It was me and I'm very happy to do it-"
Chris Wallace:,0:14:30,9/29/20,,,0:39:30,0:38:10,0:38:10,All right. Let's-
President Donal...:,0:14:31,9/29/20,,,0:39:31,0:38:11,0:38:11,... and people of Ohio are very proud of me. And you know how I found out? When [crosstalk 00:14:35].
Chris Wallace:,0:14:36,9/29/20,,,0:39:36,0:38:16,0:38:16,"Gentlemen, we're going to get to your economic plans going forward in a moment, but first, Mr. President, as you well know, there's a new report that in 2016, the year you were elected president, and 2017, your first year as president, that you paid $750 a year in federal income tax each of those years. I know that you pay a lot of other taxes, but I'm asking you this specific question. Is it true that you paid $750 in federal income taxes each of those two years?"
President Donal...:,0:15:08,9/29/20,,,0:40:08,0:38:48,0:38:48,"I paid millions of dollars in taxes, millions of dollars of income tax. And let me just tell you, there was a story in one of the papers that paid-"
Vice President ...:,0:15:16,9/29/20,,,0:40:16,0:38:56,0:38:56,Show us your tax returns.
President Donal...:,0:15:17,9/29/20,,,0:40:17,0:38:57,0:38:57,"I paid $38 million one year, I paid $27 million one year."
Vice President ...:,0:15:24,9/29/20,,,0:40:24,0:39:04,0:39:04,Show us your tax returns.
President Donal...:,0:15:24,9/29/20,,,0:40:24,0:39:04,0:39:04,"You'll see it as soon as it's finished, you'll see it. You know, if you wanted to, go to the Board of Elections. There's 118 page or so report that says everything I have, every bank I have, I'm totally under leveraged because the assets are extremely good, and I built a great company."
Chris Wallace:,0:15:42,9/29/20,,,0:40:42,0:39:22,0:39:22,"Sir, I'm asking you a specific question, which is-"
President Donal...:,0:15:43,9/29/20,,,0:40:43,0:39:23,0:39:23,But let me tell you-
Chris Wallace:,0:15:43,9/29/20,,,0:40:43,0:39:23,0:39:23,I understand all of that.
Vice President ...:,0:15:44,9/29/20,,,0:40:44,0:39:24,0:39:24,Release your tax return.
Chris Wallace:,0:15:45,9/29/20,,,0:40:45,0:39:25,0:39:25,I understand all of that-
President Donal...:,0:15:45,9/29/20,,,0:40:45,0:39:25,0:39:25,Let me-
Chris Wallace:,0:15:47,9/29/20,,,0:40:47,0:39:27,0:39:27,"No, Mr. President, I'm asking you a question. Will you tell us how much you paid in federal income taxes in 2016 and 2017?"
President Donal...:,0:15:56,9/29/20,,,0:40:56,0:39:36,0:39:36,Millions of dollars.
Chris Wallace:,0:15:58,9/29/20,,,0:40:58,0:39:38,0:39:38,You paid millions of dollars in-
President Donal...:,0:15:59,9/29/20,,,0:40:59,0:39:39,0:39:39,"Millions of dollars, yes."
Chris Wallace:,0:15:59,9/29/20,,,0:40:59,0:39:39,0:39:39,So not 750?
President Donal...:,0:16:00,9/29/20,,,0:41:00,0:39:40,0:39:40,Millions of dollars. And you'll get to see it. And you'll get to see it.
Vice President ...:,0:16:03,9/29/20,,,0:41:03,0:39:43,0:39:43,When?
President Donal...:,0:16:04,9/29/20,,,0:41:04,0:39:44,0:39:44,But let me just tell you-
Vice President ...:,0:16:05,9/29/20,,,0:41:05,0:39:45,0:39:45,In [crosstalk 00:16:04]?
President Donal...:,0:16:05,9/29/20,,,0:41:05,0:39:45,0:39:45,"Chris, let me just say something, that it was the tax laws. I don't want to pay tax. Before I came here, I was a private developer, I was a private business people. Like every other private person, unless they're stupid, they go through the laws, and that's what it is. He passed a tax bill that gave us all these privileges for depreciation and for tax credits. We build the building and we get tax credits, like the hotel on Pennsylvania Avenue. Which by the way, was given to me by the Obama administration, if you can believe that. Now the man got fired right after that happened, but that's-"
Chris Wallace:,0:16:40,9/29/20,,,0:41:40,0:40:20,0:40:20,"Vice President Biden, you want to respond?"
Vice President ...:,0:16:42,9/29/20,,,0:41:42,0:40:22,0:40:22,"Yeah, I do want to respond. Look, the tax code that put him in a position that he pays less tax than on the money a school teacher makes is because of him... He says he's smart because he can take advantage of the tax code. And he does take advantage of the tax code. That's why I'm going to eliminate the Trump tax cuts. And I'm going to eliminate those tax cuts."
President Donal...:,0:17:06,9/29/20,,,0:42:06,0:40:46,0:40:46,That's okay.
Vice President ...:,0:17:07,9/29/20,,,0:42:07,0:40:47,0:40:47,And make sure that we invest in the people who in fact need the help. People out there need help.
President Donal...:,0:17:13,9/29/20,,,0:42:13,0:40:53,0:40:53,But why didn't you do it over the last 25 years?
Vice President ...:,0:17:16,9/29/20,,,0:42:16,0:40:56,0:40:56,Because you weren't president-
President Donal...:,0:17:18,9/29/20,,,0:42:18,0:40:58,0:40:58,Why didn't you do it over the last 25 years?
